starvation_correct,trial_correct,i3S,coral_cam,Kilo_cam,Exp_n,Cage,date_cuno_in,time_cuno_in,ray1,ray2,cuno_size,cuno_location_found,grid,cuno_depth,color,tag_n,used,days_starved,date_coral_in,time_coral_in,date_finish,time_finish,trial_length,combo_specific_spp,combo_general_spp,coral_n,coral_spp_PISFC,coral_spp_general,cage_side,growth_form_1,max_d_1,ortho_d_1,height_1,p_alive_start_1,symbionts_1,p_alive_end_1,p_consumed_1,ranking_coral,rank_n,ate,N_eaten,consumed_FIRST,consumed_SECOND,not_consumed_1,not_consumed_2,order determined with video?,evidence from video,number of videos spent eating,date/time start eating,coral.visited.first,visited.coral.ate.first,comments
N,Y,Y,Y,Y,114,C077,11/5/2021,2:16:00 PM,12.5,12.5,19,Circle,N11,18,green,PIC_04,PIC_04,6,11/11/2021,2:16:00 PM,11/18/2021,10:17:00 AM,7,PVAR_PMEA,PVAR_PMEA,1,PVAR,PVAR,NORTH,EF,7,4.5,4.5,30,0,0,1,SECOND,1,YES,both,PMEA,PVAR,,,Y,coral went from color to white from 11/13 to 11/14,N/A,N/A,POME,Y,
N,Y,Y,Y,Y,114,C077,11/5/2021,2:16:00 PM,12.5,12.5,19,Circle,N11,18,green,PIC_04,PIC_04,6,11/11/2021,2:16:00 PM,11/18/2021,10:17:00 AM,7,PVAR_PMEA,PVAR_PMEA,2,PMEA,POSP,SOUTH,BR,6,3,7.5,90,0,0,1,FIRST,2,YES,both,PMEA,PVAR,,,Y,coral went from color to white from 11/11 to 11/12,N/A,N/A,POME,Y,
N,N,Y,Y,Y,115,C153,11/5/2021,2:16:00 PM,11,11,18,East of Anchor,D10,40,yellow/brown,PIC_12,PIC_12,6,11/11/2021,2:14:00 PM,11/14/2021,6:30:00 PM,3,PVAR_PMEA,PVAR_PMEA,1,PVAR,PVAR,SOUTH,EF,18.5,8.5,8.5,20,0,5,0.75,FIRST,2,YES,both,PVAR,PMEA,,,Y,coral went from color to white from 11/11 to 11/12,N/A,N/A,PVAR,Y,
N,N,Y,Y,Y,115,C153,11/5/2021,2:16:00 PM,11,11,18,East of Anchor,D10,40,yellow/brown,PIC_12,PIC_12,6,11/11/2021,2:14:00 PM,11/14/2021,6:30:00 PM,3,PVAR_PMEA,PVAR_PMEA,2,PMEA,POSP,NORTH,BR,4.5,2.5,6,80,0,0,1,SECOND,1,YES,both,PVAR,PMEA,,,Y,coral went from color to white from 11/12 to 11/13,N/A,N/A,PVAR,Y,
N,N,Y,N,Y,116,C158,5/10/2022,3:45:00 PM,12,12,18,Stump,I6,21,yellow/brown,PIC_113,N,15,5/25/2022,1:26:00 PM,6/9/2022,10:58:00 AM,15,MCAP_FSCU,MCAP_FSCU,1,FSCU,FSCU,NORTH,FR,10,7.5,3.5,95,0,95,0,NOT_EATEN,0,NO,none,,,FSCU,MCAP,didn't eat,N/A,N/A,N/A,no.video,no.video,
N,N,Y,N,Y,116,C158,5/10/2022,3:45:00 PM,12,12,18,Stump,I6,21,yellow/brown,PIC_113,N,15,5/25/2022,1:26:00 PM,6/9/2022,10:58:00 AM,15,MCAP_FSCU,MCAP_FSCU,2,MCAP,MCAP,SOUTH,EF,14,12.5,6.5,60,0,60,0,NOT_EATEN,0,NO,none,,,FSCU,MCAP,didn't eat,N/A,N/A,N/A,no.video,no.video,
N,N,Y,N,Y,117,C157,5/10/2022,3:45:00 PM,10,11.5,18,Stump,I6,21,yellow/orange,PIC_112,N,15,5/25/2022,1:38:00 PM,6/9/2022,10:46:00 AM,15,LESP_MPAT,LESP_MPAT,1,LESP,LESP,NORTH,EF,10,8,6,40,0,40,0,NOT_EATEN,0,NO,none,,,LESP,MPAT,didn't eat,N/A,N/A,N/A,no.video,no.video,
N,N,Y,N,Y,117,C157,5/10/2022,3:45:00 PM,10,11.5,18,Stump,I6,21,yellow/orange,PIC_112,N,15,5/25/2022,1:38:00 PM,6/9/2022,10:46:00 AM,15,LESP_MPAT,LESP_MPAT,2,MPAT,MPAT,SOUTH,EF,10.5,7.5,4,25,0,25,0,NOT_EATEN,0,NO,none,,,LESP,MPAT,didn't eat,N/A,N/A,N/A,no.video,no.video,
N,N,Y,N,Y,118,C156,5/10/2022,3:45:00 PM,10,11,16,East of Anchor,C11,44,yellow/brown,PIC_114,PIC_114,15,5/25/2022,1:55:00 PM,6/9/2022,10:35:00 AM,15,PVAR_PMEA,PVAR_PMEA,1,PMEA,POSP,NORTH,BR,5,3.5,6,65,0,0,1,unknown,0.5,YES,both,BOTH,,,,unknown,N/A,N/A,N/A,no.video,no.video,
N,N,Y,N,Y,118,C156,5/10/2022,3:45:00 PM,10,11,16,East of Anchor,C11,44,yellow/brown,PIC_114,PIC_114,15,5/25/2022,1:55:00 PM,6/9/2022,10:35:00 AM,15,PVAR_PMEA,PVAR_PMEA,2,PVAR,PVAR,SOUTH,EF,5.5,4.5,3,40,0,0,1,unknown,0.5,YES,both,BOTH,,,,unknown,N/A,N/A,N/A,no.video,no.video,
N,N,Y,N,Y,120,C154,5/10/2022,3:45:00 PM,11.5,12,20,Stump,I6,21,yellow,PIC_80,N,15,5/25/2022,2:10:00 PM,6/9/2022,10:31:00 AM,15,PCOM_PLOB,PCOM_PLOB,1,PCOM,PCOM,NORTH,KN,12,7,5.5,60,0,1,0.98,FIRST,2,YES,one,PCOM,,PLOB,,ate one,ate on kilo cam,,6/2/22 @ 7pm-6/3/22 @ 6:45pm,no.video,no.video,"may have revisited, ate almost 24 hours and varely removed tissue"
N,N,Y,N,Y,120,C154,5/10/2022,3:45:00 PM,11.5,12,20,Stump,I6,21,yellow,PIC_80,N,15,5/25/2022,2:10:00 PM,6/9/2022,10:31:00 AM,15,PCOM_PLOB,PCOM_PLOB,2,PLOB,PORM,SOUTH,MD,11,7.5,4.5,40,0,10,0.75,NOT_EATEN,0,NO,one,PCOM,,PLOB,,ate one,N/A,N/A,N/A,no.video,no.video,"coral burried in sand, not consumed"
N,N,Y,N,N,121,C158,5/25/2022,2:05:00 PM,11,11,17,Dagger,G6,31,yellow/brown,PIC_115,N,15,6/9/2022,1:32:00 PM,6/15/2022,9:55:00 AM,6,MPAT_FSCU,MPAT_FSCU,1,MPAT,MPAT,NORTH,EF,20,10,11,30,0,3,0.9,FIRST,2,YES,one,MPAT,,FSCU,,no video.ate one,N/A,N/A,N/A,no.video,no.video,
N,N,Y,N,N,121,C158,5/25/2022,2:05:00 PM,11,11,17,Dagger,G6,31,yellow/brown,PIC_115,N,15,6/9/2022,1:32:00 PM,6/15/2022,9:55:00 AM,6,MPAT_FSCU,MPAT_FSCU,2,FSCU,FSCU,SOUTH,FR,11,7,3,100,0,100,0,NOT_EATEN,0,NO,one,MPAT,,FSCU,,no video.ate one,N/A,N/A,N/A,no.video,no.video,
N,N,Y,N,N,122,C157,5/25/2022,2:05:00 PM,11,11,18,Dagger,G6,29,yellow/brown,PIC_116,N,15,6/9/2022,1:27:00 PM,6/15/2022,10:00:00 AM,6,PCOM_PLOB,PCOM_PLOB,1,PLOB,PORM,NORTH,MD,20,8,13,60,0,60,0,NOT_EATEN,0,NO,none,,,PLOB,PCOM,no video.didn't eat,N/A,N/A,N/A,no.video,no.video,
N,N,Y,N,N,122,C157,5/25/2022,2:05:00 PM,11,11,18,Dagger,G6,29,yellow/brown,PIC_116,N,15,6/9/2022,1:27:00 PM,6/15/2022,10:00:00 AM,6,PCOM_PLOB,PCOM_PLOB,2,PCOM,PCOM,SOUTH,KN,10,8,10,40,0,40,0,NOT_EATEN,0,NO,none,,,PLOB,PCOM,no video.didn't eat,N/A,N/A,N/A,no.video,no.video,
N,N,Y,Y,N,123,C156,5/25/2022,2:05:00 PM,12,12,20,Dagger,G4,29,yellow/green/brown,PIC_118,N,15,6/9/2022,1:22:00 PM,6/15/2022,10:01:00 AM,6,PCOM_PLOB,PCOM_PLOB,1,PLOB,PORM,NORTH,MD,13,9,12,25,0,25,0,NOT_EATEN,0,NO,none,,,PLOB,PCOM,didn't eat,N/A,N/A,N/A,,didnt.eat,
N,N,Y,Y,N,123,C156,5/25/2022,2:05:00 PM,12,12,20,Dagger,G4,29,yellow/green/brown,PIC_118,N,15,6/9/2022,1:22:00 PM,6/15/2022,10:01:00 AM,6,PCOM_PLOB,PCOM_PLOB,2,PCOM,PCOM,SOUTH,KN,11,8,12,40,0,40,0,NOT_EATEN,0,NO,none,,,PLOB,PCOM,didn't eat,N/A,N/A,N/A,,didnt.eat,
N,N,Y,Y,N,124,C155,5/25/2022,2:05:00 PM,12,12,18,Dagger,F7,29,purple/yellow/brown,PIC_119,PIC_119,15,6/9/2022,1:17:00 PM,6/15/2022,10:07:00 AM,6,PLOB_MCAP,PLOB_MCAP,1,MCAP,MCAP,NORTH,EF,19,11.5,7,80,0,80,0,NOT_EATEN,0,NO,none,,,MCAP,PLOB,didn't eat,N/A,N/A,N/A,,didnt.eat,
N,N,Y,Y,N,124,C155,5/25/2022,2:05:00 PM,12,12,18,Dagger,F7,29,purple/yellow/brown,PIC_119,PIC_119,15,6/9/2022,1:17:00 PM,6/15/2022,10:07:00 AM,6,PLOB_MCAP,PLOB_MCAP,2,PLOB,PORM,SOUTH,MD,20,11,10,40,0,40,0,NOT_EATEN,0,NO,none,,,MCAP,PLOB,didn't eat,N/A,N/A,N/A,,didnt.eat,
N,N,Y,Y,N,125,C154,5/25/2022,2:05:00 PM,13,12,18,East of Anchor,D10,44,yellow/brown,PIC_120,N,15,6/9/2022,1:12:00 PM,6/15/2022,10:09:00 AM,6,PLOB_MCAP,PLOB_MCAP,1,MCAP,MCAP,NORTH,EF,12,11,9,50,0,0,1,FIRST,2,YES,both,MCAP,PLOB,,,Y,ate on video,19,6/10/22 @ 6am to 6/11/22 @11am,PLOB,N,"ate MCAP through the night, took over 24 hours"
N,N,Y,Y,N,125,C154,5/25/2022,2:05:00 PM,13,12,18,East of Anchor,D10,44,yellow/brown,PIC_120,N,15,6/9/2022,1:12:00 PM,6/15/2022,10:09:00 AM,6,PLOB_MCAP,PLOB_MCAP,2,PLOB,PORM,SOUTH,MD,13,12,12,50,0,20,0.6,SECOND,1,YES,both,MCAP,PLOB,,,Y,ate on video,13,6/12/22 @ 6am to 6/12/22 @ 6pm,PLOB,N,"Ate this for a whole day (and probably into the night) and still was not able to remove all tissue, it was just sloughing off"
N,N,Y,N,Y,126,C158,6/15/2022,1:10:00 PM,12,12,23,East of Anchor,F11,39,green/brown,PIC_46,PIC_46,9,6/24/2022,1:30:00 PM,7/8/2022,10:17:00 AM,14,MCAP_FSCU,MCAP_FSCU,1,MCAP,MCAP,SOUTH,EF,11,10,6,50,0,5,0.9,FIRST,2,YES,one,MCAP,,FSCU,,ate one,ate on kilo cam,20 pics,7/1/22 @ 6am-10:45am,no.video,no.video,left a little bit of coral on there
N,N,Y,N,Y,126,C158,6/15/2022,1:10:00 PM,12,12,23,East of Anchor,F11,39,green/brown,PIC_46,PIC_46,9,6/24/2022,1:30:00 PM,7/8/2022,10:17:00 AM,14,MCAP_FSCU,MCAP_FSCU,2,FSCU,FSCU,NORTH,FR,8,10,3,100,0,100,0,NOT_EATEN,0,NO,one,MCAP,,FSCU,,ate one,N/A,N/A,N/A,no.video,no.video,
N,N,Y,N,Y,127,C157,6/15/2022,1:10:00 PM,14,14,20,East of Anchor,E11,41,yellow/purple,PIC_106,PIC_106,9,6/24/2022,1:46:00 PM,7/8/2022,10:13:00 AM,14,MPAT_PDUE,MPAT_PDUE,1,MPAT,MPAT,SOUTH,EF,14,14,8,50,0,25,0.5,SECOND,1,YES,both,PDUE,MPAT,,,Y,coral wen from color to white from 6/26-6/27,N/A,N/A,no.video,no.video,
N,N,Y,N,Y,127,C157,6/15/2022,1:10:00 PM,14,14,20,East of Anchor,E11,41,yellow/purple,PIC_106,PIC_106,9,6/24/2022,1:46:00 PM,7/8/2022,10:13:00 AM,14,MPAT_PDUE,MPAT_PDUE,2,PDUE,PDUE,NORTH,ML,8,7,4.5,50,0,0,100,FIRST,2,YES,both,PDUE,MPAT,,,Y,ate on kilo cam,41 pics,6/26/22 @ 6am-4pm,no.video,no.video,probably started at night
N,N,Y,N,Y,128,C156,6/15/2022,1:10:00 PM,11.5,11,18,East of Anchor,E11,39,yellow/brown,PIC_12,PIC_12,9,6/24/2022,1:51:00 PM,7/8/2022,10:05:00 AM,14,MPAT_PDUE,MPAT_PDUE,1,MPAT,MPAT,SOUTH,EF,7.5,5.5,3,15,0,15,0,NOT_EATEN,0,NO,none,PDUE,,MPAT,,ate one,N/A,N/A,N/A,no.video,no.video,
N,N,Y,N,Y,128,C156,6/15/2022,1:10:00 PM,11.5,11,18,East of Anchor,E11,39,yellow/brown,PIC_12,PIC_12,9,6/24/2022,1:51:00 PM,7/8/2022,10:05:00 AM,14,MPAT_PDUE,MPAT_PDUE,2,PDUE,PDUE,NORTH,ML,9.5,4.5,2.5,60,0,0,100,FIRST,2,YES,none,PDUE,,MPAT,,ate one,ate on kilo cam,15 pics,6/29/22 @ 6am-9:30am,no.video,no.video,probably started at night
N,N,Y,N,Y,129,C155,6/15/2022,1:10:00 PM,12,12,18,Dagger,F7,30,yellow,PIC_121,N,9,6/24/2022,2:07:00 PM,7/8/2022,9:59:00 AM,14,MPAT_PDUE,MPAT_PDUE,1,MPAT,MPAT,SOUTH,EF,10,6,3,40,0,0,100,FIRST,2,YES,both,MPAT,PDUE,,,Y,ate on kilo cam,47 pics,6/25/22 @ 6am-5:30pm,no.video,no.video,probably started at night
N,N,Y,N,Y,129,C155,6/15/2022,1:10:00 PM,12,12,18,Dagger,F7,30,yellow,PIC_121,N,9,6/24/2022,2:07:00 PM,7/8/2022,9:59:00 AM,14,MPAT_PDUE,MPAT_PDUE,2,PDUE,PDUE,NORTH,ML,10,3.5,3,35,0,0,100,SECOND,1,YES,both,MPAT,PDUE,,,Y,ate on kilo cam,43 pics,6/26/22 @ 6am-4:30pm,no.video,no.video,probably started at night
