Exp_n,Cage,date_coral_in,time_coral_in,date_finish,combo_general_spp,coral_spp_general,cage_side,growth_form_1,max_d_1,ortho_d_1,height_1,consumed_FIRST,consumed_SECOND,not_consumed_1,not_consumed_2,method_order_determined,camera_evidence,n_videos_eating,n_pics_eating,n_hours_eat,date_time_start,visitied_first,first_eaten_visited_first,feeding_time,comments
133,C156,8/24/22,12:58:00 PM,8/31/22,MPAT_PDUE,MPAT,SOUTH,EF,13,7.5,7,PDUE,MPAT,,,Y_KILO,ate on kilo cam,NA,7,2+,8/31/22 6:00,MPAT,N,both_start_night,very low tissue removal
133,C156,8/24/22,12:58:00 PM,8/31/22,MPAT_PDUE,PDUE,NORTH,ML,9.5,6,4.5,PDUE,MPAT,,,Y_KILO,ate on kilo cam,NA,23,6+,8/29/23 6:00,MPAT,N,both_start_night,
136,C161,8/31/22,2:17:00 PM,9/14/22,PCOM_FSCU,PCOM,NORTH,KN,18,11,9,PCOM,,FSCU,,ate one,ate on kilo cam,NA,22,6+,9/8/22 6:00,NA,NA,both_start_night,ate just one branch
136,C161,8/31/22,2:17:00 PM,9/14/22,PCOM_FSCU,FSCU,SOUTH,FR,10,7.5,3,PCOM,,FSCU,,ate one,NA,NA,NA,NA,NA,NA,NA,NA,
137,C162,8/31/22,2:13:00 PM,9/14/22,MPAT_PVAR,PVAR,NORTH,EF,16,13,8,MPAT,PVAR,,,Y_KILO,color change_kilo,NA,NA,NA,9/9/22-9/10/22,MPAT,Y,overnight,
137,C162,8/31/22,2:13:00 PM,9/14/22,MPAT_PVAR,MPAT,SOUTH,EF,5.5,5.5,1,MPAT,PVAR,,,Y_KILO,color change_kilo,NA,NA,NA,9/2/22-9/3/22,MPAT,Y,overnight,
138,C156,8/31/22,2:08:00 PM,9/14/22,MPAT_PVAR,PVAR,NORTH,EF,19,13,17,MPAT,PVAR,,,Y_BOTH,ate on both cams,3,13,3+,9/2/22 6:30,MPAT,Y,both_start_night,
138,C156,8/31/22,2:08:00 PM,9/14/22,MPAT_PVAR,MPAT,SOUTH,EF,7.5,6,5,MPAT,PVAR,,,Y_BOTH,ate on both cams,9,34,9+,9/1/22 6:00,MPAT,Y,both_start_night,
139,C157,8/31/22,2:03:00 PM,9/14/22,MCAP_FSCU,MCAP,NORTH,EF,15,11,8,FSCU,,MCAP,,ate one,NA,NA,NA,NA,NA,MCAP,N,NA,
139,C157,8/31/22,2:03:00 PM,9/14/22,MCAP_FSCU,FSCU,SOUTH,FR,11.5,5,2,FSCU,,MCAP,,ate one,ate on kilo cam,NA,48,12+,9/11/22 6:00,MCAP,N,both_start_night,"ate towards the end of the 2 weeks after coral had spent 10 days trying to keep sand off, probably ate cause tissues were stressed and out and was producing a lot of mucus"
142,C157,9/21/22,12:40:00 PM,9/30/22,MPAT_PVAR,MPAT,NORTH,EF,16,12,8,PVAR,MPAT,,,Y_KILO,color change_kilo,NA,NA,NA,9/24/22-9/25/22,NA,NA,overnight,
